[Info] Start offline testing, model: out_prod/TR/1000000/2020-04-08_22-10-53_rscale_False_statevars_8_hidinit_glorot_uniform_hidact_leakyrelu_batch_32_mem_200000_1000_opt_sgd_lr_0.01_isplit_n_100_k_10_d_0.01/1/models/weights_1000056.h5
[Info] Offline Testing with N=200, K=10, Delta=0.01. Num iterations=50
 12560/inf: episode: 188, level: 0, particle: 187, episode steps: 67, episode reward: 0.8626, episode rob: 0.1478, new memory entries: 68
 12627/inf: episode: 189, level: 0, particle: 188, episode steps: 67, episode reward: 0.8424, episode rob: 0.1715, new memory entries: 68
 12694/inf: episode: 190, level: 0, particle: 189, episode steps: 67, episode reward: 0.8731, episode rob: 0.1357, new memory entries: 68
 12761/inf: episode: 191, level: 0, particle: 190, episode steps: 67, episode reward: 0.8527, episode rob: 0.1594, new memory entries: 68
 12827/inf: episode: 192, level: 0, particle: 191, episode steps: 66, episode reward: 0.8684, episode rob: 0.1411, new memory entries: 67
 12893/inf: episode: 193, level: 0, particle: 192, episode steps: 66, episode reward: 0.8594, episode rob: 0.1515, new memory entries: 67
 12960/inf: episode: 194, level: 0, particle: 193, episode steps: 67, episode reward: 0.8779, episode rob: 0.1303, new memory entries: 68
 13027/inf: episode: 195, level: 0, particle: 194, episode steps: 67, episode reward: 0.8518, episode rob: 0.1604, new memory entries: 68
 13094/inf: episode: 196, level: 0, particle: 195, episode steps: 67, episode reward: 0.8425, episode rob: 0.1714, new memory entries: 68
 13161/inf: episode: 197, level: 0, particle: 196, episode steps: 67, episode reward: 0.8608, episode rob: 0.1499, new memory entries: 68
 13228/inf: episode: 198, level: 0, particle: 197, episode steps: 67, episode reward: 0.8585, episode rob: 0.1526, new memory entries: 68
 13297/inf: episode: 199, level: 0, particle: 198, episode steps: 69, episode reward: 0.8793, episode rob: 0.1286, new memory entries: 70
 13364/inf: episode: 200, level: 0, particle: 199, episode steps: 67, episode reward: 0.8239, episode rob: 0.1937, new memory entries: 68
[Info] Len prefix list: 200
[Info] 1-th LEVEL FOUND: 0.888300895690918, Considering 200/200 traces
 13431/inf: episode: 201, level: 1, particle: 0, episode steps: 67, episode reward: 0.8591, episode rob: 0.1518, new memory entries: 68
 13498/inf: episode: 202, level: 1, particle: 1, episode steps: 67, episode reward: 0.8626, episode rob: 0.1479, new memory entries: 68
 13564/inf: episode: 203, level: 1, particle: 2, episode steps: 66, episode reward: 0.8691, episode rob: 0.1403, new memory entries: 67
 13631/inf: episode: 204, level: 1, particle: 3, episode steps: 67, episode reward: 0.8590, episode rob: 0.1520, new memory entries: 68
