[log] episode: 300001/350000, collisions: 4, elapsed time: 28693.324923828004
[log] episode: 301001/350000, collisions: 4, elapsed time: 28789.627497189
[log] episode: 302001/350000, collisions: 4, elapsed time: 28886.174808536
[log] episode: 303001/350000, collisions: 4, elapsed time: 28982.598547563
[log] episode: 304001/350000, collisions: 4, elapsed time: 29079.16169103
[log] episode: 305001/350000, collisions: 4, elapsed time: 29175.652262280004
[log] episode: 306001/350000, collisions: 4, elapsed time: 29272.078578824003
[log] episode: 307001/350000, collisions: 4, elapsed time: 29368.599044035
[log] episode: 308001/350000, collisions: 4, elapsed time: 29464.964892924
[log] episode: 309001/350000, collisions: 4, elapsed time: 29561.324677204
[log] episode: 310001/350000, collisions: 4, elapsed time: 29657.724882686998
[log] episode: 311001/350000, collisions: 4, elapsed time: 29754.096868158005
[log] episode: 312001/350000, collisions: 4, elapsed time: 29850.590057344
[log] episode: 313001/350000, collisions: 4, elapsed time: 29946.885660716005
[log] episode: 314001/350000, collisions: 4, elapsed time: 30043.299210531004
[log] episode: 315001/350000, collisions: 4, elapsed time: 30139.648359864004
[log] episode: 316001/350000, collisions: 4, elapsed time: 30236.014945758005
[log] episode: 317001/350000, collisions: 4, elapsed time: 30332.430889573
[log] episode: 318001/350000, collisions: 4, elapsed time: 30428.630710820005
[log] episode: 319001/350000, collisions: 4, elapsed time: 30524.854208762
[log] episode: 320001/350000, collisions: 4, elapsed time: 30621.181877652998
[log] episode: 321001/350000, collisions: 4, elapsed time: 30717.518325736004
[log] episode: 322001/350000, collisions: 4, elapsed time: 30813.944623582
[log] episode: 323001/350000, collisions: 4, elapsed time: 30910.377842460002
[log] episode: 324001/350000, collisions: 4, elapsed time: 31006.825353487002
[log] episode: 325001/350000, collisions: 4, elapsed time: 31103.176274996003
[log] episode: 326001/350000, collisions: 4, elapsed time: 31199.636735535
[log] episode: 327001/350000, collisions: 4, elapsed time: 31296.078134624004
[log] episode: 328001/350000, collisions: 4, elapsed time: 31392.416327503
[log] episode: 329001/350000, collisions: 4, elapsed time: 31488.830924814
[log] episode: 330001/350000, collisions: 4, elapsed time: 31585.260152463
[log] episode: 331001/350000, collisions: 4, elapsed time: 31681.558506338
[log] episode: 332001/350000, collisions: 4, elapsed time: 31777.988048481
[log] episode: 333001/350000, collisions: 4, elapsed time: 31874.408464477005
[log] episode: 334001/350000, collisions: 4, elapsed time: 31970.758835024004
[log] episode: 335001/350000, collisions: 4, elapsed time: 32067.210906793
[log] episode: 336001/350000, collisions: 4, elapsed time: 32163.698018673
[log] episode: 337001/350000, collisions: 4, elapsed time: 32260.128184970003
[log] episode: 338001/350000, collisions: 4, elapsed time: 32356.554637301
[log] episode: 339001/350000, collisions: 4, elapsed time: 32453.475769566
[log] episode: 340001/350000, collisions: 4, elapsed time: 32549.912405996998
[system] complete run: episode: 340428, end condition: COLLISION, reward: 1.1288435660781257
[log] episode: 341001/350000, collisions: 5, elapsed time: 32645.623575369005
[log] episode: 342001/350000, collisions: 5, elapsed time: 32740.629275084
[log] episode: 343001/350000, collisions: 5, elapsed time: 32835.07970781
[log] episode: 344001/350000, collisions: 5, elapsed time: 32929.753199129
[log] episode: 345001/350000, collisions: 5, elapsed time: 33024.556821263
[log] episode: 346001/350000, collisions: 5, elapsed time: 33119.364676107005
[log] episode: 347001/350000, collisions: 5, elapsed time: 33214.16938993
[log] episode: 348001/350000, collisions: 5, elapsed time: 33309.208767926
[log] episode: 349001/350000, collisions: 5, elapsed time: 33404.199455937
[Result] 350000 Simulations (plot=False) in 33499.093005663 seconds. Num collisions: 5
